keywords,tokens
rca4 regional climate model,['climat' 'model' 'region']
rcm,['rcm']
rcm lake model coupling,['lake' 'model' 'rcm']
rcm parameters,['paramet' 'rcm']
rcmip phase 2,['phase']
rcp,['rcp']
rcp 20,['rcp']
rcp 26,['rcp']
rcp 45,['rcp']
rcp 45 and 85,['rcp']
rcp 6 scenario,['rcp' 'scenario']
rcp 60,['rcp']
rcp 80,['rcp']
rcp 85,['rcp']
rcp climate scenarios,['climat' 'rcp' 'scenario']
rcp scenario,['rcp' 'scenario']
rcp scenarios,['rcp' 'scenario']
rcp85 large ensemble,['ensembl' 'larg']
re adaptation challenge,['adapt']
re alignment of incentives,['align' 'incent']
re digging of canal,['canal' 'dig']
re opening,['open']
re thinking business supply chains,['busi' 'chain' 'suppli' 'think']
react,['react']
reactive actions,['action']
reactive adaptation,['adapt']
reactive strategies,['strategi']
readiness,['readi']
real option analysis,['option' 'real']
real option value,['option' 'real' 'valu']
real options,['option' 'real']
real options analysis,['option' 'real']
real options analysis roa,['option' 'real' 'roa']
real options framework,['framework' 'option' 'real']
real options pricing,['option' 'price' 'real']
real options valuation,['option' 'real' 'valuat']
real time data,['data' 'real' 'time']
real time forecasts,['forecast' 'real' 'time']
real time tools,['real' 'time' 'tool']
real time water quality monitoring,['monitor' 'real' 'time' 'water']
real value of water,['real' 'valu' 'water']
real world,['real' 'world']
real world participatory setting,['participatori' 'real' 'set' 'world']
real world prices,['price' 'real' 'world']
realistic adaptation options,['adapt' 'option' 'realist']
realization,['realize']
reallocation,['realloc']
reallocation of water,['realloc' 'water']
reanalysis,['reanalysi']
reanalysis data,['data' 'reanalysi']
reanalysis databases,['databas' 'reanalysi']
reasons for concern,['concern' 'reason']
reassessment,['reassess']
rebound effect,['effect' 'rebound']
recent heavy rainfall,['heavi' 'rainfal' 'recent']
recent literature,['literatur' 'recent']
recent past,['past' 'recent']
receptors,['receptor']
recharge processes,['process']
rechna doab,['rechna']
reciprocal interactions,['interact' 'reciproc']
recommendation domains,['domain' 'recommend']
recommendations,['recommend']
reconciliation with indigenous peoples,['peopl' 'reconcili']
reconstructions,['reconstruct']
record breaking extreme rainfall,['break' 'extrem' 'rainfal' 'record']
record drought conditions,['condit' 'drought' 'record']
recovery efforts,['effort']
recovery plan for europe,['europ' 'plan']
recovery planning,['plan']
recovery rate,['rate']
recovery time,['time']
recreation,['recreat']
recreational bag limits,['bag' 'limit' 'recreat']
recreational fisheries,['fisheri' 'recreat']
recreational use,['recreat' 'use']
recursive modular approach,['approach' 'modular' 'recurs']
recursively dynamic model,['model' 'recurs']
red meat,['meat' 'red']
red meat consumption,['consumpt' 'meat' 'red']
red river basin,['basin' 'red' 'river']
red river delta,['delta' 'red' 'river']
redd policy,['polici']
reduce regional vulnerability,['reduc' 'region' 'vulner']
reduce vulnerability,['reduc' 'vulner']
reduced complexity climate model,['climat' 'complex' 'model' 'reduc']
reduced complexity climate models,['climat' 'complex' 'model' 'reduc']
reduced complexity modeling,['complex' 'model' 'reduc']
reduced complexity models,['complex' 'model' 'reduc']
reduced decision making time horizons,['decis' 'horizon' 'make' 'reduc' 'time']
reduced runoff,['reduc' 'runoff']
reduced supply reliability,['reduc' 'reliabl' 'suppli']
reducing canopy size,['canopi' 'reduc' 'size']
reducing density,['reduc']
reducing fossil fuel dependence,['depend' 'fossil' 'fuel' 'reduc']
reducing impact of stressors,['impact' 'reduc' 'stressor']
reducing inequality,['reduc']
reducing pollution,['pollut' 'reduc']
reducing uncertainties,['reduc']
reduction in agricultural production,['product' 'reduct']
reduction in water availability,['avail' 'reduct' 'water']
reeds,['reed']
refh,['refh']
refill rivers,['refil' 'river']
refined liquids,['liquid' 'refin']
refining,['refin']
reflective land use planning,['land' 'plan' 'reflect' 'use']
reflective processes,['process' 'reflect']
reflexive and participatory debate,['debat' 'participatori' 'reflex']
reflexive approaches,['approach' 'reflex']
reflexive refinement,['refin' 'reflex']
reflexivity,['reflex']
reforestation,['reforest']
reforested croplands,['cropland' 'reforest']
reframing,['refram']
refuge vulnerability,['vulner']
refugees,['refuge']
refugia,['refugia']
refugia metrics,['metric' 'refugia']
regcm,['regcm']
regenerating urban spaces,['space' 'urban']
regime changes,['regim']
regime effectiveness,['effect' 'regim']
regime shift identification,['identif' 'regim' 'shift']
regime shifts,['regim' 'shift']
region specific,['region' 'specif']
region specific literature,['literatur' 'region' 'specif']
region specific responses,['region' 'respons' 'specif']
region specific threats,['region' 'specif' 'threat']
region to region energy transfers,['region' 'transfer']
regional,['region']
regional actors,['actor' 'region']
regional adaptation,['adapt' 'region']
regional adaptation planning,['adapt' 'plan' 'region']
regional adaptation plans,['adapt' 'plan' 'region']
regional adaptation strategies,['adapt' 'region' 'strategi']
regional adaptation strategies ras,['adapt' 'region' 'strategi']
regional air pollution,['air' 'pollut' 'region']
regional air quality,['air' 'region']
regional air quality model,['air' 'model' 'region']
regional air quality models,['air' 'model' 'region']
regional analysis,['region']
regional and global economic models,['global' 'model' 'region']
regional and local authorities,['author' 'local' 'region']
regional and local planning efforts,['effort' 'local' 'plan' 'region']
regional and local scales,['local' 'region' 'scale']
regional and national forecasts,['forecast' 'nation' 'region']
regional and national planning,['nation' 'plan' 'region']
regional and national understanding,['nation' 'region' 'understand']
regional approaches,['approach' 'region']
regional assessment,['assess' 'region']
regional assets,['asset' 'region']
regional atmospheric modeling system rams,['atmospher' 'model' 'region']
regional authorities,['author' 'region']
regional case studies,['case' 'region' 'studi']
regional challenges,['region']
regional changes in production,['product' 'region']
regional circulation models,['model' 'region']
regional climate,['climat' 'region']
regional climate change,['climat' 'region']
regional climate changes,['climat' 'region']
regional climate data,['climat' 'data' 'region']
regional climate influence,['climat' 'influenc' 'region']
regional climate information,['climat' 'inform' 'region']
regional climate mitigation,['climat' 'region']
regional climate model,['climat' 'model' 'region']
regional climate model projections,['climat' 'model' 'project' 'region']
regional climate model rcm,['climat' 'model' 'rcm' 'region']
regional climate model simulations,['climat' 'model' 'region' 'simul']
regional climate modeling,['climat' 'model' 'region']
regional climate models,['climat' 'model' 'region']
regional climate models rcms,['climat' 'model' 'rcms' 'region']
regional climate pathways,['climat' 'pathway' 'region']
regional climate projections,['climat' 'project' 'region']
regional climate response,['climat' 'region' 'respons']
regional climate scenarios,['climat' 'region' 'scenario']
regional climate simulations,['climat' 'region' 'simul']
regional climatic models,['climat' 'model' 'region']
regional climatology,['region']
regional collaboration,['region']
regional collaborations,['region']
regional communities,['communiti' 'region']
regional competitiveness,['region']
regional context,['context' 'region']
regional contexts,['context' 'region']
regional contrast,['contrast' 'region']
regional cooperation,['cooper' 'region']
regional coordination,['coordin' 'region']
regional coordination forums,['coordin' 'forum' 'region']
regional countries,['countri' 'region']
regional crop production,['crop' 'product' 'region']
regional decision making,['decis' 'make' 'region']
regional demand management,['demand' 'manag' 'region']
regional details,['detail' 'region']
regional development,['develop' 'region']
regional dietary shifts,['dietari' 'region' 'shift']
regional differences,['differ' 'region']
regional economic returns,['region' 'return']
regional economic situation,['region' 'situat']
regional economies,['economi' 'region']
regional ecosystems,['ecosystem' 'region']
regional effects,['effect' 'region']
regional efforts,['effort' 'region']
regional emission model,['model' 'region']
regional emission reduction strategies,['reduct' 'region' 'strategi']
regional engagement,['engag' 'region']
regional fingerprint,['fingerprint' 'region']
regional fuel prices,['fuel' 'price' 'region']
regional governance,['govern' 'region']
regional government,['govern' 'region']
regional growth management,['growth' 'manag' 'region']
regional hard linked wef nexus model,['hard' 'link' 'model' 'nexus' 'region']
regional hydrologic modeling,['model' 'region']
regional hydrological changes,['region']
regional impact assessment model simulation,['assess' 'impact' 'model' 'region' 'simul']
regional impacts,['impact' 'region']
regional inequalities,['region']
regional institution building,['build' 'institut' 'region']
regional integrated assessment,['assess' 'integr' 'region']
regional issues,['issu' 'region']
regional leadership,['leadership' 'region']
regional level,['level' 'region']
regional level adaptation,['adapt' 'level' 'region']
regional levels,['level' 'region']
regional models,['model' 'region']
regional needs,['need' 'region']
regional patterns,['pattern' 'region']
regional perceptions,['percept' 'region']
regional planning,['plan' 'region']
regional plans,['plan' 'region']
regional policies,['polici' 'region']
regional policy,['polici' 'region']
regional policymaking,['region']
regional power,['power' 'region']
regional predictions,['predict' 'region']
regional priorities,['region']
regional problems,['problem' 'region']
regional production,['product' 'region']
regional resource opportunities,['opportun' 'region' 'resourc']
regional risk assessment,['assess' 'region' 'risk']
regional rivalry,['region']
regional robustness,['region' 'robust']
regional runoff changes,['region' 'runoff']
regional scale,['region' 'scale']
regional scale analysis,['region' 'scale']
regional scale groundwater models,['model' 'region' 'scale']
regional scales,['region' 'scale']
regional sea level change,['level' 'region' 'sea']
regional slr projections,['project' 'region']
regional spatial scales,['region' 'scale' 'spatial']
regional spatial temporal characteristics,['region' 'spatial']
regional specialization,['region' 'special']
regional stakeholder networks,['network' 'region' 'stakehold']
regional stakeholders,['region' 'stakehold']
regional strategies,['region' 'strategi']
regional studies,['region' 'studi']
regional suitability models,['model' 'region' 'suitabl']
regional sustainability,['region' 'sustain']
regional sustainable development,['develop' 'region' 'sustain']
regional trade offs,['off' 'region' 'trade']
regional transfers,['region' 'transfer']
regional urban water supply,['region' 'suppli' 'urban' 'water']
regional variability,['region' 'variabl']
regional variation,['region' 'variat']
regional vulnerability,['region' 'vulner']
regional vulnerability assessment,['assess' 'region' 'vulner']
regional warming,['region' 'warm']
regionalization,['region']
regionalized economy,['economi' 'region']
regionally specific,['region' 'specif']
regions,['region']
regreening,['regreen']
regression,['regress']
regression analysis,['regress']
regression based downscaling,['base' 'regress']
regression model,['model' 'regress']
regression technique,['regress' 'techniqu']
regret,['regret']
regret robustness assessment,['assess' 'regret' 'robust']
regueb basin,['basin']
regulating services,['servic']
regulation enforcement,['enforc']
regulation of outflows,['outflow']
regulatory,['regulatori']
regulatory approaches,['approach' 'regulatori']
regulatory approval process,['approv' 'process' 'regulatori']
regulatory constraints,['constraint' 'regulatori']
regulatory context,['context' 'regulatori']
regulatory framework,['framework' 'regulatori']
regulatory instruments,['instrument' 'regulatori']
regulatory mandates,['mandat' 'regulatori']
regulatory measures,['measur' 'regulatori']
regulatory policy,['polici' 'regulatori']
regulatory scenarios,['regulatori' 'scenario']
regulatory system,['regulatori']
rehabilitation,['rehabilit']
reinforcement learning,['learn' 'reinforc']
relationships,['relationship']
relative concentration pathway rcp scenarios,['concentr' 'pathway' 'rcp' 'relat' 'scenario']
relative humidity,['humid' 'relat']
relative importance,['import' 'relat']
relative risk model,['model' 'relat' 'risk']
relative vulnerability,['relat' 'vulner']
relaxation time constant,['constant' 'relax' 'time']
release,['releas']
release policies,['polici' 'releas']
relevant databases,['databas']
reliability,['reliabl']
reliability ensemble average,['ensembl' 'reliabl']
reliability metrics,['metric' 'reliabl']
reliability of research,['reliabl' 'research']
reliability values,['reliabl' 'valu']
reliable,['reliabl']
reliable assessments,['assess' 'reliabl']
reliable data,['data' 'reliabl']
reliance,['relianc']
relief air,['air' 'relief']
relief measures,['measur' 'relief']
relocating croplands,['cropland' 'reloc']
relocation,['reloc']
relocation efforts,['effort' 'reloc']
reluctance,['reluct']
remaining wilderness,['remain' 'wilder']
remediation,['remedi']
remote areas,['area' 'remot']
remote communities,['communiti' 'remot']
remote data acquisition,['acquisit' 'data' 'remot']
remote sensing,['remot' 'sens']
remote sensing data,['data' 'remot' 'sens']
remote sensing observations,['observ' 'remot' 'sens']
remote work,['remot' 'work']
remotely sensed observations,['observ' 'remot' 'sens']
rendova island,['island' 'rendova']
renewable,['renew']
renewable costs,['cost' 'renew']
renewable energy,['renew']
renewable energy expansion,['renew']
renewable energy plants,['plant' 'renew']
renewable energy production,['product' 'renew']
renewable energy projects,['project' 'renew']
renewable energy sources,['renew' 'sourc']
renewable energy technologies,['renew' 'technolog']
renewable energy utilization,['renew' 'util']
renewable fuels,['fuel' 'renew']
renewable intermittency,['intermitt' 'renew']
renewable portfolio,['portfolio' 'renew']
renewable power plants,['plant' 'power' 'renew']
renewable resources,['renew' 'resourc']
renewable technologies,['renew' 'technolog']
renewable utilization,['renew' 'util']
renewable water,['renew' 'water']
renewable water resources,['renew' 'resourc' 'water']
renewable water sources,['renew' 'sourc' 'water']
renewable wind and solar power,['power' 'renew' 'solar' 'wind']
renewables,['renew']
renewal,['renew']
renovation plan,['plan']
reoperating infrastructure,['infrastructur' 'reoper']
reorganising,['reorganis']
repair,['repair']
repair facilities,['facil' 'repair']
replacement,['replac']
reporting errors,['error' 'report']
representation,['represent']
representation concentration pathways,['concentr' 'pathway' 'represent']
representation of human systems,['human' 'represent' 'system']
representation of women,['represent' 'women']
representative agricultural pathways raps,['pathway' 'rap' 'repres']
representative concentration pathway,['concentr' 'pathway' 'repres']
representative concentration pathway 85,['concentr' 'pathway' 'repres']
representative concentration pathway rcp,['concentr' 'pathway' 'rcp' 'repres']
representative concentration pathway rcp 85,['concentr' 'pathway' 'rcp' 'repres']
representative concentration pathway rcp ensemble,['concentr' 'ensembl' 'pathway' 'rcp' 'repres']
representative concentration pathway rcp scenarios,['concentr' 'pathway' 'rcp' 'repres' 'scenario']
representative concentration pathways,['concentr' 'pathway' 'repres']
representative concentration pathways 45 & 85,['concentr' 'pathway' 'repres']
representative concentration pathways rcp,['concentr' 'pathway' 'rcp' 'repres']
representative concentration pathways rcp 85,['concentr' 'pathway' 'rcp' 'repres']
representative concentration pathways rcp45,['concentr' 'pathway' 'repres']
representative concentration pathways rcps,['concentr' 'pathway' 'repres']
representative concentration pathways rcps 26,['concentr' 'pathway' 'repres']
representative concentration rcp 85,['concentr' 'rcp' 'repres']
representative example watershed,['exampl' 'repres' 'watersh']
representative study,['repres' 'studi']
reproducibility,['reproduc']
reproducible data,['data' 'reproduc']
reproducible science,['reproduc' 'scienc']
reproduction,['reproduct']
reproductive health,['health' 'reproduct']
reproductive performance,['perform' 'reproduct']
republic of korea,['republ']
republican river basin,['basin' 'river']
reputational gains,['gain' 'reput']
rescaling,['rescal']
rescheduling farming,['farm' 'reschedul']
research,['research']
research agenda,['agenda' 'research']
research agendas,['agenda' 'research']
research and development,['develop' 'research']
research and development activity,['activ' 'develop' 'research']
research and development r&d,['develop' 'r&d' 'research']
research and innovation,['research']
research and policy,['polici' 'research']
research and training,['research' 'train']
research capacity,['capac' 'research']
research capacity building,['build' 'capac' 'research']
research challenges,['research']
research communication,['research']
research community,['communiti' 'research']
research data,['data' 'research']
research directions,['direct' 'research']
research engine,['engin' 'research']
research evidence,['evid' 'research']
research findings,['find' 'research']
research for development,['develop' 'research']
research framework,['framework' 'research']
research gaps,['gap' 'research']
research infrastructure,['infrastructur' 'research']
research initiatives,['research']
research institutions,['institut' 'research']
research methods,['method' 'research']
research needs,['need' 'research']
research opportunities,['opportun' 'research']
research pathways,['pathway' 'research']
research policy nexus,['nexus' 'polici' 'research']
research practice,['practic' 'research']
research priorities,['research']
research program managers,['manag' 'program' 'research']
research projects,['project' 'research']
research quality,['research']
research report,['report' 'research']
research solutions,['research']
research supported methods,['method' 'research' 'support']
research teams,['research' 'team']
research themes,['research' 'theme']
research to operations,['oper' 'research']
research triangle region,['region' 'research']
research workshops,['research' 'workshop']
researcher positionality,['posit' 'research']
researchers,['research']
reservation prices,['price' 'reserv']
reservations market payments,['market' 'payment' 'reserv']
reserve capacity,['capac' 'reserv']
reserve constraints,['constraint' 'reserv']
reserve margins,['margin' 'reserv']
reserved water rights,['reserv' 'right' 'water']
reserves,['reserv']
reservoir,['reservoir']
reservoir capacity yield model,['capac' 'model' 'reservoir' 'yield']
reservoir embayments,['reservoir']
reservoir inflow,['inflow' 'reservoir']
reservoir inflows,['inflow' 'reservoir']
reservoir management,['manag' 'reservoir']
reservoir operating rules,['oper' 'reservoir' 'rule']
reservoir operation,['oper' 'reservoir']
reservoir operation optimization,['oper' 'reservoir']
reservoir operation rules,['oper' 'reservoir' 'rule']
reservoir operations,['oper' 'reservoir']
reservoir releases,['releas' 'reservoir']
reservoir scheme,['reservoir' 'scheme']
reservoir storage,['reservoir' 'storag']
reservoir storage capacity,['capac' 'reservoir' 'storag']
reservoir storage expansion,['reservoir' 'storag']
reservoir systems,['reservoir' 'system']
reservoirs,['reservoir']
residential,['residenti']
residential ac prevalence,['preval' 'residenti']
residential action groups,['action' 'group' 'residenti']
residential air conditioning,['air' 'condit' 'residenti']
residential coastal building stock,['build' 'coastal' 'residenti' 'stock']
residential electricity,['residenti']
residential emissions,['residenti']
residential energy demand,['demand' 'residenti']
residential energy demands,['demand' 'residenti']
residential sector,['residenti' 'sector']
residents,['resid']
residual damage,['residu']
residual damages,['residu']
residue management,['manag' 'residu']
residues,['residu']
resilience,['resili']
resilience actions,['action' 'resili']
resilience analysis,['resili']
resilience approach,['approach' 'resili']
resilience assessment,['assess' 'resili']
resilience based conceptual framework,['base' 'framework' 'resili']
resilience building,['build' 'resili']
resilience building capacities,['build' 'capac' 'resili']
resilience building interventions,['build' 'intervent' 'resili']
resilience capacity,['capac' 'resili']
resilience diagnostic and decision support tool,['decis' 'diagnost' 'resili' 'support' 'tool']
resilience interventions,['intervent' 'resili']
resilience learning system,['learn' 'resili']
resilience management,['manag' 'resili']
resilience planning,['plan' 'resili']
resilience profiles,['profil' 'resili']
resilience science,['resili' 'scienc']
resilience strategies,['resili' 'strategi']
resilience thinking,['resili' 'think']
resilience to climate change,['climat' 'resili']
resiliency,['resili']
resilient,['resili']
resilient and sustainable planning,['plan' 'resili' 'sustain']
resilient characteristics,['resili']
resilient cities,['citi' 'resili']
resilient city,['citi' 'resili']
resilient community development,['communiti' 'develop' 'resili']
resilient crops,['crop' 'resili']
resilient cultivars,['cultivar' 'resili']
resilient designs,['design' 'resili']
resilient development,['develop' 'resili']
resilient infrastructure,['infrastructur' 'resili']
resilient local communities,['communiti' 'local' 'resili']
resilient measures,['measur' 'resili']
resilient systems,['resili' 'system']
resist climate impacts,['climat' 'impact' 'resist']
resistance,['resist']
resistance strategies,['resist' 'strategi']
resource access,['access' 'resourc']
resource accessibility,['access' 'resourc']
resource adequacy planning,['adequaci' 'plan' 'resourc']
resource allocation,['alloc' 'resourc']
resource and environmental carrying capacity,['capac' 'carri' 'environment' 'resourc']
resource and knowledge gaps,['gap' 'resourc']
resource assessments,['assess' 'resourc']
resource availability,['avail' 'resourc']
resource based vulnerability,['base' 'resourc' 'vulner']
resource burden,['burden' 'resourc']
resource capacity,['capac' 'resourc']
resource competition,['resourc']
resource connectivity,['connect' 'resourc']
resource constraints,['constraint' 'resourc']
resource decline,['declin' 'resourc']
resource degradation,['resourc']
resource demands,['demand' 'resourc']
resource dependence,['depend' 'resourc']
resource dependency,['depend' 'resourc']
resource depletion,['deplet' 'resourc']
resource development,['develop' 'resourc']
resource efficient transportation,['effici' 'resourc' 'transport']
resource endowments,['endow' 'resourc']
resource flows,['flow' 'resourc']
resource formats,['format' 'resourc']
resource geopolitization,['geopolit' 'resourc']
resource investment,['invest' 'resourc']
resource management,['manag' 'resourc']
resource managers,['manag' 'resourc']
resource mobilisation,['mobilis' 'resourc']
resource network optimization,['network' 'resourc']
resource optimization,['resourc']
resource reallocation,['realloc' 'resourc']
resource rich & poor farming,['farm' 'poor' 'resourc' 'rich']
resource scarcity,['resourc']
resource sectors,['resourc' 'sector']
resource shortages,['resourc' 'shortag']
resource substitutions,['resourc' 'substitut']
resource sufficiency,['resourc']
resource sustainability,['resourc' 'sustain']
resource systems,['resourc' 'system']
resource types,['resourc' 'type']
resource use,['resourc' 'use']
resource use efficiency,['effici' 'resourc' 'use']
resource valuation,['resourc' 'valuat']
resource value,['resourc' 'valu']
resources,['resourc']
resources and information,['inform' 'resourc']
resources and personnel,['personnel' 'resourc']
resources for innovation,['resourc']
resources targeting,['resourc' 'target']
resourcing,['resourc']
respiratory diseases,['respiratori']
respiratory disorders,['respiratori']
respiratory effects,['effect' 'respiratori']
respiratory illnesses,['ill' 'respiratori']
response,['respons']
response capacity,['capac' 'respons']
response diversity,['divers' 'respons']
response options,['option' 'respons']
response surface method,['method' 'respons']
response to extreme events,['event' 'extrem' 'respons']
response transmission,['respons']
response types,['respons' 'type']
responses,['respons']
responses of populations,['popul' 'respons']
responsibilities,['respons']
responsibility,['respons']
responsive and adaptive urban ecosystems,['adapt' 'ecosystem' 'respons' 'urban']
responsiveness,['respons']
restoration,['restor']
restoration practices,['practic' 'restor']
restorations,['restor']
results,['result']
results communication,['result']
retail,['retail']
retailing,['retail']
retention pond,['pond' 'retent']
retreat,['retreat']
retreat strategies,['retreat' 'strategi']
retreating,['retreat']
retrieval of information,['inform' 'retriev']
retrofitting,['retrofit']
retrospective,['retrospect']
return flow timing,['flow' 'return' 'time']
return flows,['flow' 'return']
return level precipitation,['level' 'precipit' 'return']
return levels,['level' 'return']
return period,['period' 'return']
return periods,['period' 'return']
reusability,['reusabl']
reuse,['reus']
revenue,['revenu']
revenue volatility,['revenu' 'volatil']
revenues,['revenu']
reversible,['revers']
reversible and flexible options,['option' 'revers']
reversible steps,['revers' 'step']
review,['review']
revolutionary land use change,['land' 'revolutionari' 'use']
rhine,['rhine']
rhine basin,['basin' 'rhine']
rice,['rice']
rice agriculture,['rice']
rice production,['product' 'rice']
rice yields,['rice' 'yield']
rights,['right']
rights based family planning services,['base' 'famili' 'plan' 'right' 'servic']
rights trade,['right' 'trade']
rigor,['rigor']
rio 1992,['rio']
rio declaration,['declar' 'rio']
riparian communities,['communiti' 'riparian']
riparian countries,['countri' 'riparian']
riparian ecosystems,['ecosystem' 'riparian']
riparian habitat,['habitat' 'riparian']
riparian revegetation,['riparian']
riparian systems,['riparian' 'system']
rise of sea level,['level' 'rise' 'sea']
rising food demands,['demand' 'food' 'rise']
rising greenhouse gas levels,['gas' 'greenhous' 'level' 'rise']
rising incomes,['incom' 'rise']
rising temperatures,['rise']
rising water levels,['level' 'rise' 'water']
risk,['risk']
risk adaptation,['adapt' 'risk']
risk analyses,['analys' 'risk']
risk analysis,['risk']
risk and harm,['harm' 'risk']
risk and hazards,['hazard' 'risk']
risk and opportunities,['opportun' 'risk']
risk and uncertainty,['risk']
risk and vulnerability,['risk' 'vulner']
risk and vulnerability assessment,['assess' 'risk' 'vulner']
risk assessment,['assess' 'risk']
risk assessment approach,['approach' 'assess' 'risk']
risk assessment methods,['assess' 'method' 'risk']
risk assessment model,['assess' 'model' 'risk']
risk assessment models,['assess' 'model' 'risk']
risk assessment outputs,['assess' 'output' 'risk']
risk assessment processes,['assess' 'process' 'risk']
risk assessments,['assess' 'risk']
risk attitude,['attitud' 'risk']
risk attitudes,['attitud' 'risk']
risk aversion,['avers' 'risk']
risk avoidance behaviour,['avoid' 'behaviour' 'risk']
risk awareness,['awar' 'risk']
risk based approach,['approach' 'base' 'risk']
risk based approaches,['approach' 'base' 'risk']
risk based cba,['base' 'risk']
risk based choices,['base' 'risk']
risk based climate services,['base' 'climat' 'risk' 'servic']
risk based communication strategies,['base' 'risk' 'strategi']
risk based economic analysis,['base' 'risk']
risk based economic planning,['base' 'plan' 'risk']
risk based evaluation,['base' 'evalu' 'risk']
risk based framework,['base' 'framework' 'risk']
risk based management,['base' 'manag' 'risk']
risk based planning,['base' 'plan' 'risk']
risk based pricing,['base' 'price' 'risk']
risk based reinsurance premiums,['base' 'premium' 'reinsur' 'risk']
risk bearing capacity,['bear' 'capac' 'risk']
risk centred approach,['approach' 'centr' 'risk']
risk characterisation,['risk']
risk communication,['risk']
risk consequence estimates,['consequ' 'estim' 'risk']
risk coping culture,['cope' 'risk']
risk data,['data' 'risk']
risk decisions,['decis' 'risk']
risk estimates,['estim' 'risk']
risk exposure,['exposur' 'risk']
risk factors,['factor' 'risk']
risk focused economic modelling,['focus' 'model' 'risk']
risk framework,['framework' 'risk']
risk governance,['govern' 'risk']
risk identification,['identif' 'risk']
risk increase,['increas' 'risk']
risk index,['index' 'risk']
risk indicators,['risk']
risk indices,['risk']
risk layering approach,['approach' 'layer' 'risk']
risk layers,['layer' 'risk']
risk levels,['level' 'risk']
risk loving,['love' 'risk']
risk magnitude,['magnitud' 'risk']
risk management,['manag' 'risk']
risk management approach,['approach' 'manag' 'risk']
risk management cycle,['manag' 'risk']
risk management frameworks,['framework' 'manag' 'risk']
risk management instruments,['instrument' 'manag' 'risk']
risk management policies,['manag' 'polici' 'risk']
risk management strategies,['manag' 'risk' 'strategi']
risk map,['map' 'risk']
risk mapping,['map' 'risk']
risk matrix,['matrix' 'risk']
risk measures,['measur' 'risk']
risk metrics,['metric' 'risk']
risk mitigation,['risk']
risk modeling,['model' 'risk']
risk modelling,['model' 'risk']
risk neutral reinsurer,['neutral' 'reinsur' 'risk']
risk of damage,['risk']
risk of failure,['risk']
risk of fire,['risk']
risk of floods and droughts,['drought' 'flood' 'risk']
risk of hunger,['hunger' 'risk']
risk of hunger and malnutrition,['hunger' 'risk']
risk perception,['percept' 'risk']
risk perceptions,['percept' 'risk']
risk performance measures,['measur' 'perform' 'risk']
risk preferences,['prefer' 'risk']
risk premium,['premium' 'risk']
risk priority areas,['area' 'risk']
risk proofed investments,['invest' 'proof' 'risk']
risk ranking maps,['map' 'rank' 'risk']
risk ratio,['ratio' 'risk']
risk reducing strategies,['reduc' 'risk' 'strategi']
risk reduction,['reduct' 'risk']
risk reduction capacity,['capac' 'reduct' 'risk']
risk reduction solutions,['reduct' 'risk']
risk reduction strategies,['reduct' 'risk' 'strategi']
risk regimes,['regim' 'risk']
risk registers,['regist' 'risk']
risk related inequalities,['relat' 'risk']
risk responses,['respons' 'risk']
risk science,['risk' 'scienc']
risk scores,['risk' 'score']
risk screening,['risk' 'screen']
risk seeking,['risk' 'seek']
risk sharing mechanisms,['risk' 'share']
risk society,['risk' 'societi']
risk sources,['risk' 'sourc']
risk spreading mechanisms,['risk' 'spread']
risk studies,['risk' 'studi']
risk taking attitude,['attitud' 'risk' 'take']
risk terminologies,['risk']
risk threshold,['risk' 'threshold']
risk tolerance,['risk']
risk transfer,['risk' 'transfer']
risk transfer mechanisms,['risk' 'transfer']
risks,['risk']
risks and hazards,['hazard' 'risk']
risky assets,['asset' 'riski']
rituals,['ritual']
rival decision support paths,['decis' 'path' 'rival' 'support']
river,['river']
river and coastal engineering,['coastal' 'engin' 'river']
river and coastal flooding,['coastal' 'flood' 'river']
river and overland flooding,['flood' 'overland' 'river']
river bank instability,['bank' 'river']
river basin,['basin' 'river']
river basin commissions,['basin' 'river']
river basin districts,['basin' 'district' 'river']
river basin level,['basin' 'level' 'river']
river basin management,['basin' 'manag' 'river']
river basin management planning,['basin' 'manag' 'plan' 'river']
river basin management plans,['basin' 'manag' 'plan' 'river']
river basin management process,['basin' 'manag' 'process' 'river']
river basin planning,['basin' 'plan' 'river']
river basin systems,['basin' 'river' 'system']
river basins,['basin' 'river']
river birds,['bird' 'river']
river capacity constraints,['capac' 'constraint' 'river']
river catchments,['catchment' 'river']
river channel habitat,['channel' 'habitat' 'river']
river channels,['channel' 'river']
river delta,['delta' 'river']
river deltas,['delta' 'river']
river discharge,['river']
river discharge intervals,['interv' 'river']
river discharge variations,['river' 'variat']
river dynamics,['river']
river ecosystems,['ecosystem' 'river']
river flood,['flood' 'river']
river flood protection,['flood' 'protect' 'river']
river flood risk,['flood' 'risk' 'river']
river flooding,['flood' 'river']
river floods,['flood' 'river']
river flow,['flow' 'river']
river flow rate,['flow' 'rate' 'river']
river flow regime,['flow' 'regim' 'river']
river flows,['flow' 'river']
river health,['health' 'river']
river inflow,['inflow' 'river']
river management,['manag' 'river']
river mitano,['river']
river morphology,['morpholog' 'river']
river network,['network' 'river']
river operations model,['model' 'oper' 'river']
river regulation,['river']
river routing,['river' 'rout']
river runoff,['river' 'runoff']
river stream discharge,['river' 'stream']
river water quality,['river' 'water']
riverbeds,['riverb']
riverine flood inundation,['flood']
riverine flood risk information,['flood' 'inform' 'risk']
